text,source,clean_text
"Thirdly, the judgment of the European Court of Human Rights is highly respectful of religious freedom and its corollary, which is religious pluralism.",europarl,thirdly judgment european court human rights highly respectful religious freedom corollary religious pluralism
"In this House, aware as we are of the great importance of social cohesion, we are driven by the desire to see it working better, and working with greater transparency and efficiency.",europarl,house aware great importance social cohesion driven desire see working better working greater transparency efficiency
"In Taba, both sides acknowledged that they have never been so close to a final agreement, but we must be aware that the apparent euphoria must not make us blind to the real situation.",europarl,taba sides acknowledged never close final agreement must aware apparent euphoria must make us blind real situation
My conclusions will be set out in a report that should also be adopted by the Commission at the end of this year.,europarl,conclusions set report also adopted commission end year
"The United States has several times supplied us with information on the arrangements for operating the Electronic System for Travel Authorisation (ESTA), notably at our video-conference with Mr Chertoff, the Secretary of Homeland Security.",europarl,united states several times supplied us information arrangements operating electronic system travel authorisation notably video conference mr chertoff secretary homeland security
"(PL) On behalf of the Union for Europe of the Nations Group, I simply wanted to say that I also fully endorse Mr Goepel's suggestion.",europarl,pl behalf union europe nations group simply wanted say also fully endorse mr goepel suggestion
I nonetheless believe that it is more realistic to proceed on the basis of the somewhat lower figure quoted in the report by the Committee on Budgets.,europarl,nonetheless believe realistic proceed basis somewhat lower figure quoted report committee budgets
"And thirdly, the Union has again retreated by another step from its founding principle, from free economic competition without barriers.",europarl,thirdly union retreated another step founding principle free economic competition without barriers
"So to start the process of the Commission's recuperation, may we insist that the outgoing Members of the Santer Commission apply voluntarily the Prodi Code of Conduct.",europarl,start process commission recuperation may insist outgoing members santer commission apply voluntarily prodi code conduct
"In the final analysis, the OSCE did very good work there for a brief time, but as we can see, it was of course not in a position to build up the institutions in Albania again.",europarl,final analysis osce good work brief time see course position build institutions albania
"Mr President, Commissioner, Madam President-in-Office, the example of Russia teaches us that a process of economic transformation must follow directly from successes in the development of democracy.",europarl,mr president commissioner madam president office example russia teaches us process economic transformation must follow directly successes development democracy
I am referring on this point to the states which have recently joined the EU and still need to learn.,europarl,referring point states recently joined still need learn
"Madam President, we have had an administrative procedure and we now await your petition which will be examined at length.",europarl,madam president administrative procedure await petition examined length
The ALDE Group made the suggestion for a comparative analysis to be carried out of the two systems.,europarl,alde group made suggestion comparative analysis carried two systems
"This will take time, mind you, and we may not manage to approve them before the end of the legislative term.",europarl,take time mind may manage approve end legislative term
"One might therefore question the usefulness of a resolution adopted by Parliament, when the present dictator is then welcomed with as an honoured guest of our governments, and when he continues to receive subsidies that allow him to buy the arms that keep him in power.",europarl,one might therefore question usefulness resolution adopted parliament present dictator welcomed honoured guest governments continues receive subsidies allow buy arms keep power
"Therefore, I and my party - l'Italia dei valori - which immediately opposed this conflict vehemently, are now taking a stand against the wily tricks of the governments which claim not to be warmongers but which are helping those who are warmongers: a role which is usually reserved for those abetting criminal acts.",europarl,therefore party l italia dei valori immediately opposed conflict vehemently taking stand wily tricks governments claim warmongers helping warmongers role usually reserved abetting criminal acts
The Member States concerned who are utilizing those funds should recognize that they may at some time in the future have to be diverted to compensate for fishing opportunities that will no longer be available.,europarl,member states concerned utilizing funds recognize may time future diverted compensate fishing opportunities longer available
"The decision taken by Arcelor to gradually close its hot-working steel facilities on its continental sites was, of course, received with concern in the regions concerned.",europarl,decision taken arcelor gradually close hot working steel facilities continental sites course received concern regions concerned
"(LT) Minister, the media and media sources were mentioned in the question, because it was precisely the media that broke the news of the setting up of a secret prison in Lithuania and elsewhere.",europarl,lt minister media media sources mentioned question precisely media broke news setting secret prison lithuania elsewhere
What this means is that the objectives of maintaining public security and making our security and defence policy credible are hard to achieve nowadays without high-tech tools.,europarl,means objectives maintaining public security making security defence policy credible hard achieve nowadays without high tech tools
"   – Mr President, ladies and gentlemen, what I will say on the subject of the Doyle report is that it is very important to all of us that the Kyoto targets be achieved.",europarl,mr president ladies gentlemen say subject doyle report important us kyoto targets achieved
Let me begin by taking this opportunity to inform you of another decision which the Commission took today.,europarl,let begin taking opportunity inform another decision commission took today
"Mr Balkenende knows that, in terms of decisiveness, he can count on the complete confidence and support of MEPs, myself included.",europarl,mr balkenende knows terms decisiveness count complete confidence support meps included
"We want industry to be kept in Europe, but we want another kind of industry, which is less energy consuming and friendlier to the environment.",europarl,want industry kept europe want another kind industry less energy consuming friendlier environment
"Yesterday, at the London Conference for Afghanistan, Austrian Foreign Minister Ursula Plassnik and I both took every opportunity to talk to the different Arab representatives, in order to make that possible.",europarl,yesterday london conference afghanistan austrian foreign minister ursula plassnik took every opportunity talk different arab representatives order make possible
"Bearing in mind the great scarcity of resources, we do need to create much greater public acceptance of what we are doing.",europarl,bearing mind great scarcity resources need create much greater public acceptance
